"International Activity Name","Description","IA Country","Activity Type"
"Hemispheric University Consortium - Ocean Health Voyage","Produced by the School of Communication at the University of Miami, the Ocean Health Voyage is a groundbreaking online course that is filmed professionally in ten international locations and taught by some of the most distinguished marine scientists around the world. So far, 7 out of 14  Hemispheric University Consortium universities have confirmed its scheduling for Spring 2020, with faculty from each of them leading the course locally and collaborating among all of them, to have their students work together, hemispherically, in the course’s required projects.","Ecuador","Education"
"Study Abroad London, Galapagos Islands, Sweden","Created and led study abroad programs in London, Galapagos, Sweden beginning in 2010","Ecuador","Education"
"Global environmental online magazine, TheMiamiPlanet.org","Professor treasurer founded and edited a global environmental magazine, featuring Galapagos, national and international reports","Ecuador","Education"
"Area Expert, Ecuador cities, Galapagos Islands, NYTimes Travel Business","Area expert Ecuador mainland and the Galapagos Islands, Times Travel Business","Ecuador","Education"
"Area expert, Ecuador cities, Galapagos Islands, NYTimes Travel Business","Area expert, Ecuador Cities, Galapagos Islands","Ecuador","Education"
"Social Responsibility in the Galapagos","The 6-credit Galapagos program immerses University of Miami Students in the culture and environment of the Galapagos Islands, one of the world's foremost destinations for viewing animal wildlife. While swimming with sea lions and getting within meters of blue-footed boobies, students will work on individual media projects on animal preservation, sustainability, the environment and social responsibility. The students will sharpen their research and writing skills and produce a final short video project. Students will also receive 3 writing credits for this class.","Ecuador","Education"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Ecuador","Research"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","El Salvador","Research"
"Journalism in Insecure Democracies","Collaboration with colleagues in Mexico, El Salvador, Colombia and South Africa to research and write the research article, ""Expanding Influences Research to Insecure Democracies: How Violence, Public Insecurity, Economic Inequality, and Uneven Democratic Performance Shape Journalists’ Perceived Work"".

Abstract
Democracies with sharp violence and public insecurity have proliferated in recent decades, with many also featuring extreme economic inequality. These conditions have not been explicitly considered in comparative research on journalists’ work environments, an omission that may obscure important realities of contemporary journalism. We address this gap through an analysis of journalist surveys in 62 countries. We confirm the existence of insecure democracies as an empirical phenomenon and begin to unravel their meaning for journalists. We find democracies with uneven democratic performance tend to have more journalist assassinations, which is the most extreme form of influence on work, and that levels of democratic performance, violence, public insecurity, and economic inequality significantly shape how journalists perceive various influences in their work environment. Case studies of insecure democracies in Africa and Latin America address why these conditions sometimes (but not always) lead to journalist assassinations and other anti-press violence. They suggest anti-press violence is higher when sub-national state actors intensify criminal violence and when insecurity is geographically and topically proximate to journalists. How journalists perceive influences on work are therefore more complex and multidimensional than previous research has suggested. The study concludes by identifying areas for improvement in data collection. 

Learn More @ https://www.tandfonline.com/doi/abs/10.1080/1461670X.2016.1266278","El Salvador","Research"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","Finland","Service Activities"
"Study Abroad Paris/Amsterdam","This summer study abroad course involves photography and filmmaking in Paris and Amsterdam.","France","Education"
"Study Abroad in Paris/Amsterdam","This is a new study abroad program that will be based in Paris and include a trip to Amsterdam. This is a motion picture and still photography program.","France","Education"
"Documentary on Agricultural Subjugation in Peru","The film is a study of agricultural subjugation in Peru. How the cacao bean is cultivated, processed, priced and eventual sold and used outside of the country.","France","Research"
"International Workshop on Deep Learning for Music","Dr. Ching-Hua Chuan worked with researchers in foreign universities in France, the Netherlands, Singapore, and the U.S., to organize the International Workshop on Deep Learning for Music, May 18-19, 2017, Anchorage","France","Research"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","France","Service Activities"
"Radio in the American Sector (RIAS) - German/ American Journalism Exchange","From meetings with the U.S. ambassador to NATO and the German Ambassador to the Czech Republic, to conversations with a former Stazi prisoner, the creator of the East Side Gallery painted on the remnants of the Berlin Wall and a Syrian refugee, the RIAS Fellowship offered an insider look at politics and media in Germany and beyond. As one of 13 American broadcast journalists selected for a two-week fully funded fellowship, it was a transformative experience  to interact with German leaders in politics and media and to learn about our similarities and our differences. The conversations provided an extensive amount of fodder for news stories, as well as, increased transatlantic understanding.","Germany","Research"
"Radio in the American Sector (RIAS) - German/ American Journalism Exchange","From meetings with the U.S. ambassador to NATO and the German Ambassador to the Czech Republic, to conversations with a former Stazi prisoner, the creator of the East Side Gallery painted on the remnants of the Berlin Wall and a Syrian refugee, the RIAS Fellowship offered an insider look at politics and media in Germany and beyond. As one of 13 American broadcast journalists selected for a two-week fully funded fellowship, it was a transformative experience  to interact with German leaders in politics and media and to learn about our similarities and our differences. The conversations provided an extensive amount of fodder for news stories, as well as, increased transatlantic understanding.","Germany","Research"
"Film Production:  ""Island"" and ""Telling Trees""","Production of short documentary films ""Island"" and ""Telling Trees"" which screened at Indianapolis, Tube Art Factory for Big Car Collective in 2018.

Island: https://vimeo.com/281103901
Premiered at the Tube Factory artspace exhibition Christos Koutsouras ""Land Art (telling trees)"" This short documentary features three Greek artists who work on the island of Samos. Koutsouras is one of the three. Dia Kontaxis is a professor at the University of Miami. Her work has screened at museums, galleries and festivals including Venice (Art Biennale), New York (Tribeca Film Festival), Montreal (Art Fifa), Paris, Athens, Ankara, Lleida, Taipei and Miami (Art Basel).

Telling Trees:
 https://vimeo.com/291196859

""A full commission, Land Art (Telling Trees) includes large photographs manipulated by Koutsouras in different ways. Some pieces are painted on, others drawn upon with pencil, and some left intact. The work captures the destruction and rebirth of the forests and fields of Samos from fires that swept through the landscape. He created other works by wrapping paper around the burned trees of Samos and rubbing charcoal imprints. The exhibition also ties Samos and Indianapolis (two places Koutsouras has lived at different times throughout his life) together with a sculpture made from two pine trees from the west side of Indianapolis blown over by straight winds. The 40-year-old trees were saved from rot or becoming mulched by Indy Urban Hardwood.

The upstairs video room featured a documentary about Koutsouras and two other Greek artists by filmmaker Dia Kontaxis, a professor at the University of Miami. Her work has screened at museums, galleries and festivals including Venice (Art Biennale), New York (Tribeca Film Festival), Montreal (Art Fifa), Paris, Athens, Ankara, Lleida, Taipei and Miami (Art Basel). In the video piece at the top, also by Kontaxis, Koutsouras paints the charred trees white to contrast with the blackness of the landscape.

Koutsouras, who studied painting in Germany, often pulls from the instruction of an inspirational teacher and tries to make each work into its own narrative. Each piece must have a beginning, middle and end. The result in this show: a story of the destructive and restorative forces of nature.""","Greece","Research"
"Last Song to Xenitia","Feature documentary film on the recent Greek financial, cultural and identity crises.","Greece","Research"
"Applying the PEN-3 Cultural Model to Address HIV/AIDS Prevention in Rural Guatem","Guatemala has an accelerating HIV rate, where prevalence is three times higher among indigenous than nonindigenous, comprising 21% of all cases. Vulnerability is exacerbated by high poverty, low literacy, and poor access to testing and treatment options. This study develops a community-engaged HIV prevention campaign plan for the Mayan town of Santiago Atitlíçn. The PEN-3 model of cultural sensitivity frames this formative research project. Assessment domains of the PEN-3 model (Cultural empowerment and Relationships & expectations) identify culturally relevant factors affecting HIV prevention behaviors. The Cultural identity domain is utilized to identify entry points enhancing cultural acceptance and efficacy.","Guatemala","Research"
"Community Based Participatory Research to Raise HIV Awareness Among Young Adults","HIV/AIDS is one of the top ten causes of death among Guatemalans (CDC, 2010). While AIDS-related deaths declined significantly in many Latin American countries during the period 2005 äóñ 2013, Guatemala exhibited a 95% increase in such deaths (2013 estimates; UNAIDS, 2014). Mayans are particularly susceptible to HIV transmission as a consequence of their relative poverty, limited health care access and preference for local languages over Spanish (Kadetz, 2014), which hinder Mayan awareness of HIV and treatment options. Despite the documented vulnerabilities, HIV knowledge assessments and prevention campaigns have not widely accessed the Guatemalan Mayan communities. This paper discusses the formative research that investigates the applicability of the Health Belief Model to identify the barriers and facilitators to HIV testing and condom use in rural Guatemala. The current paper describes the formative research collected to develop a culturally appropriate campaign plan.","Guatemala","Research"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Guatemala","Research"
"Engaging the Capacity of Local Comadronas in Rural Guatemala","Guatemala has the 3rd highest rate of maternal mortality in Latin America, and indigenous Mayan women account for 71% of deaths. The majority of maternal deaths are from preventable causes, including HIV/AIDS. The USAID cites HIV as a major cause of maternal mortality and emphasizes addressing both systemic and individual barriers to comprehensive care for HIV-infected pregnant women. One such barrier is access to government health care facilities, which can accommodate only a limited number of births. Comadronas (Mayan birth attendants) have bridged this gap by providing prenatal and homebirth assistance to indigenous women, but the potential impact of the comadrona as a vehicle for a more holistic approach to sexual and reproductive health promotion has not been explored. This application is aimed to establish a foundation for expanding the role of the comadronas to include HIV prevention, thereby providing a strategy to enhance reproductive wellbeing. To accomplish this aim, we propose to 

1) to culturally adapt SEPA content for this Mayan community and 
2) to examine the feasibility and acceptability of integration of SEPA into current comadrona training.  

SEPA is an existing, evidence-based HIV prevention intervention targeting heterosexual women, which has been successfully implemented and culturally adapted to the Chilean context. The PI will work with community partners to determine factors that must be included in adapting SEPA for indigenous women. Focus groups of comadronas will determine their opinions about the intervention quality and relevance of SEPA and identify HIV testing facilitators and barriers among comadronas that influence the extent to which they could conduct HIV testing. Fifty in-depth interviews with indigenous men and women will also provide necessary socio-cultural information on gender inequality, partner communication, and condom use and HIV testing promotion that will be integrated into a tailored version of SEPA.","Guatemala","Research"
"A Community-Based Approach to HIV Prevention","Abstract: Background. Guatemala has an accelerating HIV rate, where prevalence is three
times higher among indigenous than nonindigenous people. Vulnerability is exacerbated by
high poverty, low literacy, and poor access to prevention messaging, testing, and treatment
options. This study develops a community- engaged HIV prevention campaign plan for the
underserved Mayan town Santiago Atitlán. Guided by the community- based participatory
research approach and the Health Belief Model, we identify barriers to and facilitators of
HIV testing and condom use. Methods. Formative data were collected from 50 Mayan
heterosexual adults (18– 25 years old) and community informants using in-depth interviews
and a focus group. Results. Data identified high susceptibility and severity, low rates of
condom use, high rates of stigma and low testing rates. Discussion. This research informs
the development of a theoretically driven and culturally specific intervention that prioritizes
an indigenous population. We highlight how collaboration with community partners enhances positive health promotion.","Guatemala","Research"
"Engaging the Capacity of Comadronas as HIV Prevention Sources in Rural Guatemala","In this study the author address rural Guatemala’s poor maternal health and HIV status by integrating an effective evidence-based HIV intervention (SEPA), with local implementing health partners to extend the capacity of comadronas (traditional Mayan birth attendants) to encompass HIV prevention. I employed a multi-method design consisting of a focus group, an interview, and participant observation to identify important factors surrounding comadrona receptivity towards expanding their capacity to HIV prevention. I analyzed data using thematic analysis and identified four categories: Project logistics, HIV knowledge, and risk assessment, condom perceptions, and HIV testing perceptions. I affirm comadrona receptivity toward HIV prevention, and that will guide future cultural adaptation and tailoring of SEPA for comadrona training. I will use my results to create a prototype intervention that could be applied to other similarly underserved indigenous communities.","Guatemala","Research"
"A Community-Based Approach to HIV Prevention in Rural Guatemala","Background. HIV is one of the primary causes of death in Guatemala, and during the period 2005 to 2013, Guatemala exhibited a 95% increase in such deaths. HIV transmission rates are nearly 3 times higher among the indigenous Mayan population than nonindigenous Guatemalans. Guided by the community-based participatory research approach, this article demonstrates the iterative formative research process necessary to develop a deeper and more informed understanding of HIV prevention attitudes and behaviors in the priority population. This project extends preliminary formative research that demonstrated the applicability of the health belief model (HBM) in examining risk, stigma, and barriers and facilitators to condom use and HIV testing. Method. Using an integrated mixed-method design, data were collected from heterosexual adults 18- to 25 years old (N = 250), including 50 in-depth interviews and 200 rapid assessment surveys. Results. HBM concepts of risk and stigma were confirmed. Data also revealed low rates of condom negotiation and high embarrassment in purchasing and discussing condom use. Furthermore, data yielded very low uptake rates and reduced levels of comfort with getting tested. Conclusion. This research informs the refinement of a culture-specific intervention prioritizing indigenous Mayans. We highlight how community-based research and engagement enhance community health promotion.","Guatemala","Research"
"Applying the PEN-3 Cultural Model to Address HIV/AIDS Prevention","Guatemala has an accelerating HIV rate, where prevalence is three times higher among indigenous than nonindigenous, comprising 21% of all cases. Vulnerability is exacerbated by high poverty, low literacy, and poor access to testing and treatment options. This study develops a community-engaged HIV prevention campaign plan for the Mayan town of Santiago Atitlán. The PEN-3 model of cultural sensitivity frames this formative research project. Assessment domains of the PEN-3 model (Cultural empowerment and Relationships & expectations) identify culturally relevant factors affecting HIV prevention behaviors. The Cultural identity domain is utilized to identify entry points enhancing cultural acceptance and efficacy.","Guatemala","Research"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","Guatemala","Service Activities"
"Petty Offense Communication Workshop","1-day workshop with international human rights advocates dedicated to decriminalizing petty offenses and therefore poverty and homelessness. Participants were invited ahead of a 2-day symposium hosted by the School of Law's Human Rights Clinic. 25 people from across Africa (including South Africa, Nigeria, Kenya, Uganda) Caribbean, Israel, and the US received communication training re: media interviews, social media, design thinking for specific audiences and contexts, and storytelling in general. Sessions lead by School of Communication faculty, Miami journalists, and members of Open Society Foundations, which sponsored the workshop.","Guyana","Education"
"Post Disaster (Hurricane Matthew) Ethnographic Study","In this project, Professor Sanjeev Chatterjee collaborated with Professor Herns Marcelin in setting up and executing a video documentation project in parallel with Dr. Marcelin's study on 3 remote communities in Haiti. The 5-year study follows post-disaster (Hurricane Matthew) recovery efforts of communities dependent on their own resources.","Haiti","Research"
"New York Times Obituary for Former Honduran President","Professor Treaster wrote the obituary for former Honduran president published in The New York Times. Involved conducing interviews, archival research over many months.","Honduras","Research"
"Co-author, Inside Report on the Hostage Crisis: No Hiding Place (NYTimes Books)","Professor Treasure is co-author of the book Inside Report on the Hostage Crisis: No Hiding Place (New York Times Books, 1981), which is the story of American diplomats held hostage in Iran. Hardcover, paper, Kindle,  Chinese, Spanish, German, others.","Iceland","Research"
"People, Planet, and Profit: Synergistic Leadership for Social and Communication","This was a conference that I co-hosted with a faculty member in India at an institute that focuses on management and communication","India","Education"
"East Kolkata Wetlands – A 360° View","Professor Sanjeev Chatterjee was the recipient of the Fulbright-Nehru scholarship in 2011-12 in India. The Fulbright-Kalam Climate Fellowship Program strives to build long-term capacity to address climate change-related issues by engaging scientific and technical research scholars from both India and the United States.

For research or teaching, or a combination of research and teaching activities related to climate studies. Teaching can include co-teaching, guest lectures, workshops, seminars. Depending on the department, it is likely that the grantee will also work with faculty, developing curriculum and conducting workshops and seminars. The applicant may determine the percentage of the grant dedicated to each activity and should define this clearly in the project abstract/summary and the project statement. Opportunities for guest lectures at other universities may also be available.

In addition to being a prestigious academic exchange program, the Fulbright Program is designed to expand and strengthen relationships between the people of the United States and citizens of other nations and to promote international understanding and cooperation. To support this mission, Fulbright Scholars will be asked to give public talks, mentor students, and otherwise engage with the host community, in addition to their primary activities. 

With this, Professor Sanjeev Chatterjee collaborated with faculty and students at Jadavpur University, Kolkata, India to create a website and 3 short films about East Kolkata Wetlands. 

www.kolkatawetlands.org","India","Education"
"Annual Visual Communication Workshop for Young India Fellowship","Professor Sanjeev Chatterjee conducted a 10-day intensive workshop on visual communication for the Young India Fellowship in New Delhi India 2007 - 2018.","India","Education"
"UIndia - UM's Semester Abroad in India","Professor Chatterjee has directed the University of Miami's semester abroad program UIndia since 2013.","India","Education"
"A Qualitative Study of Journalists from the BRICS Countries","This was a qualitative study of journalists from the BRICS countries. It studied these journalists' perceptions and beliefs about various work-related matters.

As part of a larger study of BRICS journalists, I collected data for two of the four selected cities in India. The empirical data from all BRICS countries was presented in a book I co-edited. Publications include the following:

Ramaprasad, J., Dubey, S., Masood, Z. (2018). News under pressure: Corporate and political ownership influence on journalists in India. International Communication Research Journal, , 53(2), 3-27.

Pasti, S., & Ramaprasad, J. (Eds.). (2015). The BRICS journalist: Profession and practice in the age of digital media [Special Issue]. African Journalism Studies, 36(3).

Pasti, S., & Ramaprasad, J. (2016). Digitalization and journalists in the BRICS countries. Brazilian Journalism Research, 12, 12-33.

Ramaprasad, J., Gudipaty, N., & Vemula, R. V. (2015). Indian journalists: Personal passion, organizational dynamics, and environmental forces. African Journalism Studies, 36(3), 61-86.

Pasti, S., & Ramaprasad, J. (2015). The BRICS journalist within the changing dynamics of the early 21st century [Editorial]. African Journalism Studies, 36(3), 1-7.

Pasti, S., & Ramaprasad, J. (Eds.). (2018). Contemporary BRICS Journalism: Non-Western Media in Transition. NY: Routledge.

Pasti, S., & Ramaprasad, J. (2017). Introduction: Why BRICS journalism matters. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 1-20). NY: Routledge.

Ramaprasad, J., Pasti, S., Paulino, F. O., Zhou, R., & Ndlovu, M. (2017). Professionalism: Continuities and change. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 23-48). NY: Routledge.

Wasserman, H., Ramaprasad, J., Sodré, M., Anikina, M., Vemula, R. K., & Xu, Y. (2017). Newsmaking: Navigating digital territory. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 49-71). NY: Routledge.

Ramaprasad, J., Ji, D., Zhou, R., Paulino, F. O., Pasti, S., Gavra, D., Wasserman, H., & Ndlovu, M. (2017). Ethics: Ideals and realities. In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 72-103). NY: Routledge.

Gudipaty, N., Ramaprasad, J., Pasti, S., Lago, C., Li, X., & Rodny-Gumede, Y. (2017). Gender: Towards equality? In S. Pasti, & J. Ramaprasad (Eds.), Contemporary BRICS journalism: Non-Western media in transition (pp. 104-129). NY: Routledge.","India","Research"
"The Worlds of Journalism Study","The Worlds of Journalism Study was founded in 2010 to assess the state of journalism throughout the world. The study’s main objective is to help journalism researchers, media practitioners and policy makers better understand the worldviews and changes that are taking place in the professional views of journalists, the conditions and limitations under which journalists operate, and the social functions of journalism in a changing world.

A joint effort of researchers from around the world, the project aspires to the highest standards of scientific collaboration and collective publishing. In so doing, WJS has become a driver of comparative research in journalism studies, and an institutional home for those who engage in it. The basic principles of cooperation are formulated in the study’s Statute. The study is hosted at LMU Munich and is funded by multiple organizations. Please see www.worldsofjournalism.org for more information.","India","Research"
"Porous City - Communication Amongst Urban Youth - Fulbright-Nehru Scholarship","During my sabbatical year (2018-19), Dr. Sanjeev Chatterjee received a Fulbright-Nehru scholarship to work with faculty and students at Jadavpur University, India on a project aimed at facilitating communication between pairs of urban youth from very different walks of life. The interactions were documented over a period of time and currently, a project website, titled Porous City is in development.

The Fulbright-Nehru Master's Fellowships are designed for research or teaching, or a combination of teaching and research activities. Teaching can include co-teaching, guest lectures, workshops, seminars. Depending on the department, it is likely that the grantee will also work with faculty, developing curriculum and conducting workshops and seminars. Applicant may determine percentage of the grant dedicated to each activity and should define this clearly in the project abstract/summary and the project statement. Opportunities for guest lectures at other universities may also be available.

In addition to being a prestigious academic exchange program, the Fulbright Program is designed to expand and strengthen relationships between the people of the United States and citizens of other nations and to promote international understanding and cooperation. To support this mission, Fulbright Scholars will be asked to give public talks, mentor students, and otherwise engage with the host community, in addition to their primary activities‎.

SPECIAL FEATURES
South and Central Asia Fulbright Regional Travel Grant

During their grant period, Fulbright Scholars in the South and Central Asia (SCA) region may apply for a regional travel grant to engage in a variety of activities at academic institutions and non-profit organizations in eligible SCA countries (India, Kazakhstan, Kyrgyz Republic, Nepal, Republic of the Maldives, Sri Lanka, Tajikistan, Turkmenistan, and Uzbekistan).  Activities that U.S Scholars may engage in include: faculty and student lectures, graduate or faculty seminars, conferences, curriculum development, public lectures, panel presentations, needs assessment, or some combination thereof. Scholars in the arts may be invited to give master classes or recitals, participate in exhibitions or workshops, or consult with cultural institutions. Activities may not include research. This grant will cover travel to and from the destination and lodging may be offered by the hosting institution. Scholars may only apply for this grant once in country on their Fulbright grant. As funds are limited, scholars are limited to one such travel grant.

South and Central Asia Fulbright Midyear Conference

With funding provided by the United States Department of State’s Bureau of Educational and Cultural Affairs, the U.S.-India Educational Foundation (the Fulbright Commission in India) invites eligible Fulbright Scholars in the South and Central Asia region to attend the annual South and Central Asia Fulbright Midyear Conference in India in 2020 (usually held in February or March). The conference is an opportunity for current Fulbright U.S. Scholars who are on their Fulbright grants in the SCA region at the time of the conference to gather to discuss each other’s work and educational exchange issues and to invite suggestions for the future development and enhancement of the Fulbright Program. Financial assistance to attend the conference is provided as an additional Fulbright grant benefit.

More information at: https://awards.cies.org/content/fulbright-nehru-academic-and-professional-excellence-awards-all-disciplines-1","India","Research"
"Documentary Filmmaking - Sweet Malady","During his sabbatical year (2018-19), Professor Sanjeev Chatterjee completed a 45-minute documentary film Sweet Malady about Kolkata's love of sweets and the rising tide of type-II diabetes in the city. This is part of a larger global project on the future of food that I am developing.","India","Research"
"Producer of Mi Amor - A Feature Film","Professor Sanjeev Chatterjee produced the feature film ""Mi Amor"" with 2 Indian film stars. The film was shot entirely in Miami and premiered at Busan Film Festival, South Korea in 2017.","India","Research"
"Ethical Use of New Technologies: Where Do Indian Journalists Stand?","Published research conducted in several cities in India with faculty colleague and doc student: Jyotika Ramaprasad, Yu Liu, and Bruce Garrison, “Ethical Use of New Technologies: Where Do Indian Journalists Stand?” Asian Journal of Communication, 22:1 (February 2012), pp. 98-114.","India","Research"
"Cross-cultural research in Asia and among Asian immigrants in the US","Dr. Li conducts research in different cultural contexts, both within the United States (e.g, Asian immigrant community) and outside of the United States (e.g., Taiwan and India). Her primary research interests are public relations and health communication with a focus on the strategic planning, application, and evaluation of communication campaigns that mobilize publics and facilitate health education, promotion, and equality. Specifically, she has investigated topics such as mental health advocacy, sexual assault awareness, hospital-community partnerships, and cultural influence on environmental corporate social responsibility.","India","Research"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","Ireland","Service Activities"
"Petty Offense Communication Workshop","1-day workshop with international human rights advocates dedicated to decriminalizing petty offenses and therefore poverty and homelessness. Participants were invited ahead of a 2-day symposium hosted by the School of Law's Human Rights Clinic. 25 people from across Africa (including South Africa, Nigeria, Kenya, Uganda) Caribbean, Israel, and the US received communication training re: media interviews, social media, design thinking for specific audiences and contexts, and storytelling in general. Sessions lead by School of Communication faculty, Miami journalists, and members of Open Society Foundations, which sponsored the workshop.","Israel","Education"
"Jerusalem Seminar","The seminar was a study-abroad program sponsored jointly with the Sue and Leonard Miller Center for Contemporary Judaic Studies and the Jerusalem Press Club. UM students reported on Israel and the Middle East from Jerusalem.","Israel","Education"
"Public Relations and Internal Communication research in South Korea, Italy, US","Dr. Lee's research focuses on public relations and internal communication practices in a global setting. She has examined and compared organizations' internal communication programs and employee behaviors in U.S., South Korea, and Italy.","Italy","Research"
"Petty Offense Communication Workshop","1-day workshop with international human rights advocates dedicated to decriminalizing petty offenses and therefore poverty and homelessness. Participants were invited ahead of a 2-day symposium hosted by the School of Law's Human Rights Clinic. 25 people from across Africa (including South Africa, Nigeria, Kenya, Uganda) Caribbean, Israel, and the US received communication training re: media interviews, social media, design thinking for specific audiences and contexts, and storytelling in general. Sessions lead by School of Communication faculty, Miami journalists, and members of Open Society Foundations, which sponsored the workshop.","Jamaica","Education"
"Games for a Caribbean Climate","Professor Lien Tran received a grant from Invoking the Pause to introduce the use of games with local and regional climate and disaster risk management organizations in Barbados. In June 2014, Professor Tran organized and co-facilitated a 2-day workshop called ""Let's Adapt: Games for Climate Change Resiliency"" along with team members Reynette Royer from the IFRC's Red Cross Caribbean Disaster Risk Management Reference Center (CADRIM), Mini Saraswati from the Red Cross Red Crescent Climate Centre (RCCC), and Professor Clay Ewing (also from UM's School of Communication). As a result of this unique funding opportunity, these organizations were able to partner together for the first time and to introduce an innovative approach to reaching climate risk stakeholders in the Caribbean.

Workshop participants represented the Barbados Red Cross, Caribbean Disaster Emergency Management Agency (CDEMA), United Nations Development Programme (UNDP), Caribbean Institute for Meteorology & Hydrology (CIMH), Community Disaster Response Teams (CDRT), and the University of the West Indies’ Centre for Resource Management and Environmental Studies (CERMES). By connecting relevant parties from Barbados and around the region on new participatory approaches to adaptation, this workshop explored how interactive resources and game-based activities can assist in the task of communicating climate change information and invoking grassroots participation within Caribbean communities. As a direct result of this workshop, Professor Tran is now discussing future plans to formally adapt and disseminate some of the games presented at the workshop - like Humans vs. Mosquitoes - as well as new climate-related topics with communities in the Caribbean.","Jamaica","Research"
"Global Virtual Conference - On Cities","Professor Sanjeev Chatterjee organized this global virtual 24-hour conference titled On Cities. Each participating institution worked thematically: 
i) Temple University Japan: Digital Cities
ii) Bournemouth University, UK: Migration, Empathy, and Coexistence
iii) SENAC, Brazil: Digital Grassroots
iV) the University of Miami, USA: Future of Food","Japan","Education"
"Semester at Sea Faculty Member","Semester at Sea is a study abroad program that is operated by the Institute for Shipboard Education. It was hosted at the University pf Pittsburgh when I was involved. The SAS program is global, not one region. We started in Asia, went to Africa, then South America, etc. Ship sails around the world making stops in many continents.","Japan","Education"
"International Conference on Games Jams and Hackathons (ICGJ)","ICGJ is an interdisciplinary conference for educators, researchers, professionals, and event organizers across various fields related to game jams and hackathons. For 2020 the conference will be in its third year, 4 of which Dr. Lindsay Grace served as co-chair or co-organizer. The conference builds on expanding the number of conferences, workshops series and research evaluating, enhancing, and improving game creation events. The conference proceedings are published in the ACM Digital Library. The 2020 event will take place in Kyoto, Japan.","Japan","Research"
"Transnational Consumer Behavior Research","Dr. Tsai's research focuses on transnational consumers, including Hispanic and Asian immigrants as well as international students","Japan","Research"
"Documentary on Agricultural Subjugation in Peru","The film is a study of agricultural subjugation in Peru. How the cacao bean is cultivated, processed, priced and eventual sold and used outside of the country.","Japan","Research"
